Experiment,Subject,Date,Time,Session,Version,,,,
BOB,555,4/14/2015,12:23:27 PM,3,C,,,,
CSS,777,1/2/2015,4:48:23 PM,1,B,,,,
CSS,2323,1/2/2015,4:30:35 PM,1,A,,,,
CSS,28020,1/6/2015,5:35:09 PM,1,B,,,,
CSS,28021,1/6/2015,8:40:23 AM,1,A,,,,
CSS,28022,1/6/2015,6:19:57 PM,1,B,,,,
CSS,28023,1/9/2015,5:39:23 PM,1,A,,,,
CSS,28024,1/7/2015,1:43:36 PM,1,A,,,,
CSS,28025,1/7/2015,2:59:50 PM,1,B,,,,
CSS,28026,1/7/2015,5:09:50 PM,1,A,,,,
CSS,28028,1/8/2015,2:12:50 PM,1,B,,,,
CSS,28029,1/6/2015,5:07:45 PM,1,B,,,,
CSS,28030,1/8/2015,5:54:27 PM,1,A,,,,
CSS,28031,1/6/2015,3:01:34 PM,1,B,,,,
CSS,28032,1/8/2015,8:59:52 AM,1,B,,,,
CSS,28033,1/5/2015,5:18:43 PM,1,A,,,,
CSS,28034,1/8/2015,12:28:48 PM,1,A,,,,
CSS,28035,1/6/2015,12:40:04 PM,1,A,,,,
CSS,28036,1/7/2015,10:10:35 AM,1,A,,,,
CSS,28037,1/8/2015,12:29:41 PM,1,A,,,,
CSS,28038,1/5/2015,4:13:01 PM,1,B,,,,
CSS,28039,1/5/2015,2:09:32 PM,1,B,,,,
CSS,28040,1/7/2015,3:25:36 PM,1,A,,,,
CSS,28041,1/7/2015,8:27:40 AM,1,A,,,,
CSS,28042,1/6/2015,1:57:59 PM,1,B,,,,
CSS,28043,1/7/2015,1:25:49 PM,1,B,,,,
CSS,28044,1/5/2015,1:42:21 PM,1,A,,,,
CSS,28045,1/7/2015,10:11:53 AM,1,A,,,,
CSS,28047,1/6/2015,6:45:25 PM,1,B,,,,
CSS,28048,1/7/2015,3:26:07 PM,1,A,,,,
CSS,28049,1/6/2015,9:50:06 AM,1,A,,,,
CSS,28050,1/7/2015,12:03:01 PM,1,A,,,,
CSS,28051,1/7/2015,8:50:08 AM,1,A,,,,
CSS,28052,1/5/2015,9:59:10 AM,1,B,,,,
CSS,28053,1/5/2015,10:25:40 AM,1,A,,,,
CSS,28054,1/6/2015,3:12:43 PM,1,B,,,,
CSS,28055,1/6/2015,4:30:55 PM,1,A,,,,
CSS,28056,1/9/2015,12:16:55 PM,1,B,,,,
CSS,28057,1/8/2015,10:44:55 AM,1,B,,,,
CSS,28058,1/8/2015,5:58:22 PM,1,A,,,,
CSS,28059,1/6/2015,11:34:46 AM,1,A,,,,
CSS,28060,1/6/2015,2:43:27 PM,1,B,,,,
CSS,28061,1/9/2015,10:26:25 AM,1,B,,,,
CSS,28062,1/5/2015,12:14:58 PM,1,B,,,,
CSS,28063,1/7/2015,9:56:10 AM,1,A,,,,
CSS,28064,1/7/2015,4:16:33 PM,1,B,,,,
